RAZON SOCIAL,DIR-COMERCIAL,BARRIO-COMERCIAL,MUN-COMERCIAL,TEL-COM-1,TEL-COM-2,TEL-COM-3,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD
SERVICIO ELECTRICO AUTOMOTRIZ MANCHO,C 5   A    12            09,,76895 - ZARZAL,3206812745,3206812745,3206812745,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO ELÉCTRICOS AUTOMOTRIZ
AGRO ELECTRICOS Y AIRES S.A.S,CALL5 5  5 58,,76895 - ZARZAL,2205053,2205053,3212233465,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,MANTENIMIENTO Y REPARACIONES MECANICAS Y ELECTRICAS Y MANTENIMIENTO DE AIRES ACONDICIONADO
LAVATECA DEL SUR,C 34       30            18,00443 - FATIMA,76834 - TULUA,3186661219,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADO Y BRILLADO DE AUTOMOTORES.
SU REPUESTO AUTOMOTOR,K 10       6             42,,76895 - ZARZAL,2035954,3225032525,3207315018,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,COMERCIALIZACION DE PARTES  PIEZAS AUTOPARTES Y ASESORIOS PARA VEHICULOS AUTOMOTORES
TALLER MEMO S G,K 40       25            25,00455 - NUEVO ALVERNIA,76834 - TULUA,3178480600,3186172594,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
PINTUCARROS Y ACCESORIOS,K 30       19            12,00474 - VILLANUEVA,76834 - TULUA,3136335898,,3136335898,F4210 ** Construccion de carreteras y vias de ferrocarril,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4512 ** Comercio de vehiculos automotores usados,G4520 ** Mantenimiento y reparacion de vehiculos automotores,CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES. COMERCIO DE VEHICULOS AUTOMOTORES USADOS. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.
MECADIESEL ZULUAGA,CALLE 23  1 A OESTE 62,00524 - NUEVO FARFÁN,76834 - TULUA,3155118787,2308728,3155118787,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER SERVI ESTAMBUL J.A,TRANSVERSAL 9 Nro. D23-68,,76834 - TULUA,3127920052,,3127920052,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
DRIVER ELECTRIC,C 16       30            52,00453 - ENTRE RIOS,76834 - TULUA,3165548903,3156143133,3156143133,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTO LUJOS EL ROLO,K 31       24            09,00452 - CESPEDES,76834 - TULUA,3192522412,3192522412,3192522412,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS
RADIADORES GOMEZ DE LA CARRERA 30,K 30       16            69,00453 - ENTRE RIOS,76834 - TULUA,2241239,,3105122215,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
PARQUEADERO LAVADERO Y TALLER BURBUJAS,CL 5 8 110,,76895 - ZARZAL,2220229,3103751442,3103751442,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES  MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES Y ACTIVIDADES DE ESTACIONES VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE
SERVICIO ELECTRICO JAIR,C5         7        83,,76895 - ZARZAL,2207724,3146450115,3225754013,A0161 ** Actividades de apoyo a la agricultura,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,ACTIVIDADES DE APOYO A LA AGRICULTURA COMERCIO DE PARTES  PIEZAS PARA VEHÍCULOS AUTOMOTORES Y MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
ELECTROMAQUINARIAS DEL VALLE,CALLE 11 SUR NRO 6 -29   BRR LA MARIA II ETAPA,,76113 - BUGALAGRANDE,3176427725,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
TALLER DE LAMINA Y PINTURAS EL PAISITA,C 5        7             35,,76895 - ZARZAL,3234240430,,3136218800,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
ALMACEN Y TALLER TORNI-CUMMINS S.A.S.,CR 30 24 01,00452 - CESPEDES,76834 - TULUA,2324851,,3168771472,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
BOSTER BOTELLO,C 19       28  A         119,00474 - VILLANUEVA,76834 - TULUA,3167870340,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTOMOTORES Y SERVICIOS S.A.S,K 40        28B      36,00446 - PANAMERICANO,76834 - TULUA,3113013316,2253670,2251597,G4512 ** Comercio de vehiculos automotores usados,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4511 ** Comercio de vehiculos automotores nuevos,COMERCIO DE VEHICULOS AUTOMOTORES USADOS- MANTENIMIENTO Y REPARACION DE VEHÍCULOS Y VENTA DE VEHÍCULOS NUEVOS
PINTURAS Y ACABADOS CHOACHI,K 20 17 76,,76828 - TRUJILLO,3005905484,,,F4330 ** Terminacion y acabado de edificios y obras de ingenieria civil,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C2592 ** Tratamiento y revestimiento de metales  mecanizado,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES TRATAMIENTO Y REVESTIMIENTO DE METALES  MECANIZADO COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA  PINTURAS Y PRODUCTOS DE VIDRIO EN ESTABLECIMIENTOS ESPECIALIZADOS
SOLSERVICIOS DEL VALLE S.A.S,CR 27 N° 27-36 LOCAL 105,00476 - EL CENTRO,76834 - TULUA,2247739,2247217,3146861405,N8211 ** Actividades combinadas de servicios administrativos de oficina,N7830 ** Otras actividades de provisión de talento humano,N8129 ** Otras actividades de limpieza de edificios e instalaciones industriales,G4520 ** Mantenimiento y reparacion de vehiculos automotores,ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA OTRAS ACTIVIDADES DE SUMINISTRO DE RECURSO HUMANO
CHAPAUTOS G M,CRA 30 NRO. 16-04,00452 - CESPEDES,76834 - TULUA,3177628485,,3177628485,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SERVICIO ELECTRICO AUTOMOTRIZ EL FLACO Y JUANCHO,K 13       24            92,00528 - RUBÉN CRUZ VÉLEZ,76834 - TULUA,3154336629,,3154336629,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
LLANTAS Y SERVICIOS AVENIDA CALI,K 27  A    37            174,00481 - AVENIDA CALI,76834 - TULUA,3162893558,3176260711,3162893558,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
COCHAUTOS,K 30       24            42,00452 - CESPEDES,76834 - TULUA,2240712,,3183641972,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
EXOSTOS Y RADIADORES WILSON  W Y M,C 29        39       15,00446 - PANAMERICANO,76834 - TULUA,3184618610,,3163690501,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES Y MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
LLANTAS Y ACCESORIOS DRM,CALLE 1A NRO.  9  - 19 B LOS LAGOS,,76895 - ZARZAL,3016418326,3216581766,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,VENTA DE LLANTAS Y ACCESORIOS PARA VEHÍCULOS.
SERVINYECCION TECNOLOGIA AUTOMOTRIZ S.A.S,K 29       19            30/34/38,00474 - VILLANUEVA,76834 - TULUA,2316885,2262423,3152690504,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,SERVICIO MATENIMIEMTO AUTOMOTRIZ
VULCANIZADORA ANDRADE HV,K 10       1             128,,76113 - BUGALAGRANDE,3108289235,3108289235,3178066483,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,,,VULCANIZADORA DE LLANTAS DE MOTOS Y BICICLETAS-VENTA DE LLANTAS
LAVAMOTOS VILLACOLOMBIA,C 7   B    22  A         79,00582 - VILLA COLOMBIA,76834 - TULUA,3128351866,3128351866,3117833142,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE LAVADO DE MOTOS
SERVICIO ELECTRICO ANDRES S.S.,K 31       16            12,00453 - ENTRE RIOS,76834 - TULUA,3116373440,,3116373440,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO ELECTRICO AUTOMOTRIZ Y AIRE ACINDICIONADO
SPA ECOLAVADO,CR 19 NRO 28-76 C.C. LA HERRADURA,00641 - LA HERRADURA,76834 - TULUA,3008236770,3137603324,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
TALLER SUPERAUTOS 18 18,CR 28 37 78,00481 - AVENIDA CALI,76834 - TULUA,2251098,3103863099,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,TALLER DE LATONERIA Y PINTURA
AUTOREPUESTOS DEL VALLE C&R,CR 40 NO 32 09,00636 - LOMITAS,76834 - TULUA,3147115640,3177040576,3215064671,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS AUTOPARTES Y ACCESORIOS LUJOS PARA VEHICULOS AUTOMOTORES.MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TECNIAUTOS DEL RIO,CR 28 A 22 23,00474 - VILLANUEVA,76834 - TULUA,3164785881,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
MONTALLANTAS Y LUBRICANTES RIOS,CR 5 21 49,,76036 - ANDALUCIA,3122133180,,,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS  MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TAPICERIA AUTOMOTRIZ GONZALO R C,CARRERA 31 A NRO. 18A-28,00507 - PUEBLO NUEVO,76834 - TULUA,3147798471,3147798471,3147798471,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,REPARACIÓN DE TAPIZADOS AUTOMOTRIZ
ESTACION DE SERVICIO CAICEDO,C5         5        04,,76895 - ZARZAL,3330195,3335504,3155925952,G4731 ** Comercio al por menor de combustible para automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIO AL POR MENOR Y AL DETAL DE COMBUSTIBLE PARA AUTOMOTORES
LAVADERO Y PARQUEADERO OXIGENO R Y S,CR 26 22 19,00480 - TOMÁS URIBE,76834 - TULUA,3136835685,,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,PARQUEADERO.LAVADO DE VEHICULOS
TALLER ELECTRICO OCTAVIO CARS,CL 18 28 A 03,00470 - POPULAR,76834 - TULUA,3168420219,3116461981,3157973649,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
LAVADERO Y PARQUEADERO SERNA JJ,CR 40 29 39,00444 - JAZMÍN,76834 - TULUA,3174884117,3136832671,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,,,LAVADERO  Y PARQUEADERO Y ACEITES
TALLER SERVICIO ELECTRICOS  JULIO O.C,CARRERA 28 A NRO 21- 65,00474 - VILLANUEVA,76834 - TULUA,3117573345,3146353781,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,ERROR: #NAME?
PARQUEADERO Y LAVATECA LA 26,CR 26 31 44,00492 - SALESIANO,76834 - TULUA,3162854754,2249518,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,PARQUEADERO. LAVATECA
TRANSALVERNIA S.A.S.,CR 38 23 30,,76834 - TULUA,3186423610,3186423610,3186423610,H4921 ** Transporte de pasajeros,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,H5229 ** Otras actividades complementarias al transporte,TRANSPORTE DE PASAJEROS  MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES  COMERCIO DE PARTES  PIEZAS (AUTO PARTES) Y ACCESORIOS (LUJOS) PARA VEHÍCULOS AUTOMOTORES  OTRAS ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE.
MOTO EXPRESS WASH,TV 12 5 A 70,00569 - ALAMEDA,76834 - TULUA,3153317949,3175966896,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,,SERVICIO DE LAVADO PARA VEHICULOS COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORES
MASTER FORROS,CR 29 21 30,00474 - VILLANUEVA,76834 - TULUA,3164528023,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,,,ELABORACIÓN DE FORROS PARA MOTOS VENTA DE ACCESORIOS PARA MOTOS
LAVA PARKING LA 25,CL 25 1 OE 170,00523 - LOS TOLÚES,76834 - TULUA,3167334532,3164910869,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADERO DE MOTOS Y CARROS
MONTALLANTAS EL TIO CB,CALLE 24 NRO. 2 A  41,00513 - FARFAN,76834 - TULUA,3177150001,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE MONTALLANTAS
LAVANYA SPA MULTISERVICIOS,CALLEJON LA CAPILLA NRO. 22 50 CORREGIMIENTO DE NARIÑO,,76834 - TULUA,3185689736,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE LAVADO DE MOTOCICLETAS
TALLER DE ALINEACION VICTOR HUGO PEREZ Q,CL 21 NRO 29-72,00474 - VILLANUEVA,76834 - TULUA,3172331127,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHICULOS
NORTVALLE EXPRESS S.A.S,CL 5 NRO. 5-58,,76895 - ZARZAL,3122529240,,,H4921 ** Transporte de pasajeros,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,TRANSPORTE DE PASAJEROS
CARROCERIAS BLANDON,CL 5 4 35,,76895 - ZARZAL,3183834743,3183834743,3183834743,C2920 ** Fabricacion de carrocerias para vehiculos automotores  fabricacion de remolques y semirremolques,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,FABRICACIÓN  MANTENIMIENTO Y REPARACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES  FABRICACIÓN DE REMOLQUES Y SEMIRREMOLQUES.
MONTALLANTAS LA ESPERANZA R.J,CL 27 15 03,00500 - LA ESPERANZA,76834 - TULUA,3174952604,3175242552,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MONTAJE Y DESPINCHADO DE LLANTAS
PARQUEADERO M Y J SAN MIGUEL,CR 32 25 11,00451 - ALVERNIA,76834 - TULUA,3218724329,2348177,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4759 ** Comercio al por menor de otros articulos domesticos en establecimientos especializados,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,ACTIVIDADES DE ESTACIONES  VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE.COMERCIO AL POR MENOR DE OTROS ARTICULOS DOMESTICOS EN ESTABLECIMIENTOS ESPECIALIZADOS.MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
CAMPERS TRACK,CR 5 NRO 2-14 CGTO LA TULIA,,76100 - BOLIVAR,3193582062,3196669862,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4512 ** Comercio de vehiculos automotores usados,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,A0150 ** Explotacion mixta (agricola y pecuaria),MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.  COMERCIO DE VEHICULOS AUTOMOTORES USADOS  COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.  EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)
AUTOLUZ LA 30,CRA 30 NRO 16 04,00470 - POPULAR,76834 - TULUA,3178444057,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
TECNICOS UNIDOS AUTOMOTRIZ HHJ,CALLE 26 30-66,00452 - CESPEDES,76834 - TULUA,3154848737,3128298368,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TECNIAUTOS SR,CR 28 43 124,00487 - LA BASTILLA,76834 - TULUA,3182602470,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE MECANICA AUTOMOTRIZ
AUTO TREJOS,CR 30 18 54,00474 - VILLANUEVA,76834 - TULUA,3113046697,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,TALLER DE SERVICIO DE MECÁNICA AUTOMOTRIZ
VULCANIZADORA EL SAMAN DE LA 40,CR 4 10 47,00463 - ESTAMBUL,76834 - TULUA,3154617744,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MONTAJE Y DESPINCHADO DE LLANTAS
ESTETICA AUTOMOTRIZ Y LAVADO,CR 30 PARQUEADERO LA REINA,00451 - ALVERNIA,76834 - TULUA,3146025687,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
NICOWSKI,CL 25 3 72,00508 - SAN PEDRO CLAVER,76834 - TULUA,3013172701,,,R9329 ** Otras actividades recreativas y de esparcimiento n.c.p.,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,OTRAS ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO N.C.P.
MASTER AUTOS J E,CL 34 27 48,00492 - SALESIANO,76834 - TULUA,3183967812,3217388969,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE PINTURA AUTOMOTRIZ
TALLER PADILLA,K 30       28            93,00448 - VICTORIA,76834 - TULUA,2262106,3113248883,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
RADIADORES LA 21,CR 29 NRO 21 BIS-11,00474 - VILLANUEVA,76834 - TULUA,3156458866,3184654491,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES: REPARACION DE RADIADORES.
BICICLETERIA EL NICHE,CARRERA 24A 15 00,00577 - MARACAIBO,76834 - TULUA,3153174038,3154493362,,S9529 ** Mantenimiento y reparacion de otros efectos personales y enseres domesticos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE BICICLETAS. MANTENIMIENTO Y REPARACION DE MOTOS
PARQUEADERO Y LAVADERO LA GALLERA RJ,CR 24 23 37,00476 - EL CENTRO,76834 - TULUA,3127728402,3185126847,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,PARQUEADERO Y LAVADERO DE VEHICULOS
RIVER AUTOS RR,CL 23 29 08,00474 - VILLANUEVA,76834 - TULUA,3217756284,3163575695,3217756284,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTO TAPICERIA DON JAIME,CR 32 NRO 24-55,00452 - CESPEDES,76834 - TULUA,3175436972,3186941537,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,S9524 ** Reparacion de muebles y accesorios para el hogar,,,REPARACIÓN DE TAPICERÍA DE VEHÍCULOS AUTOMOTORES. TAPIZADO  ACABADO  REPARACIÓN  DE MUEBLES Y ACCESORIOS DOMÉSTICOS  INCLUIDOS MUEBLES DE OFICINA Y DE CUERO.
TALLER ESTAMBUL,CR 40 13 02 LOCAL 3,00463 - ESTAMBUL,76834 - TULUA,3104194491,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
ALMACEN DE SERVICIO ELECTRICO JUNELMO,C16        30       41,00453 - ENTRE RIOS,76834 - TULUA,2240595,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,VENTA DE REPUESTOS ELECTRICOS
VULCANIZADORA Y TALLER LA SOMBRITA,CR 5 SUR 6 67 2 ETAPA,,76113 - BUGALAGRANDE,3113453468,3113278741,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MONTAJE Y DESPINCHADO DE LLANTAS.
LAVATECA SAJONIA,CARRERA 20 ENTRE CALLE 32 33,00491 - SAJONIA,76834 - TULUA,3148716735,3133215611,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,S9601 ** Lavado y limpieza  incluso la limpieza en seco  de productos textiles y de piel,,,AVADO  ENCERADA DE VEHICULOS AUTOMOTORES. EL LAVADO DE ALFOMBRAS Y TAPETES  Y LA LIMPIEZA DE CORTINAS Y TELONES  SE REALICEN EN EL  EN LA RESIDENCIA DEL CLIENTE.
AUTO PAISA,CL 21 29 14,00474 - VILLANUEVA,76834 - TULUA,3127405426,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.
CASA FRENOS TULUA S.A.S.,CL 28 A 39 40,00446 - PANAMERICANO,76834 - TULUA,3137467929,3218126671,2259301,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4731 ** Comercio al por menor de combustible para automotores,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES.
TALLER FRANKLY GOMEZ,CR 30 16 04,00470 - POPULAR,76834 - TULUA,3155262432,3229211922,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES.
